global_round,local_round,client_id,client_train_loss,client_test_loss,client_test_accuracy,bytes_down,bytes_up,comp_time,round_time,num_examples
0,0,leaf_1_client_3,1.6388965845108032,2.651239641069427,0.0,248024,248024,0.5586957999039441,0.5596102001145482,3975
0,0,leaf_1_client_4,2.0642776489257812,2.5182587767160065,0.0005387931034482759,248024,248024,0.5663499999791384,0.5674807999748737,654
1,0,leaf_1_client_0,2.2614974975585938,2.3277475139469774,0.06562955760816723,248024,248024,0.6068992000073195,0.6081181999761611,1113
1,0,leaf_1_client_4,2.160271167755127,2.37505159583143,0.0005387931034482759,248024,248024,0.6170596999581903,0.6183758999686688,654
